0.21,0.42,0.47,0.65,1.16,4.65,0.78,1.01,1.37,1.58,1.78,0.65,0.30,0.35,1.08,1.22,0.48,0.43,0.43,0.44,3.19,0.00
0.23,0.46,0.52,0.71,1.22,2.62,0.85,1.11,1.51,1.74,1.95,0.71,0.31,0.36,1.20,1.35,0.53,2.15,0.48,0.48,0.00,0.00
0.25,0.51,0.58,0.79,1.30,9.15,0.95,1.24,1.70,1.94,2.16,0.79,0.32,0.38,1.34,1.51,0.81,1.79,0.54,0.54,2.58,0.00
0.26,0.58,0.66,0.89,1.41,30.57,1.08,1.39,1.95,2.21,2.44,0.90,0.34,0.39,1.53,1.73,0.77,0.28,0.61,0.61,4.26,0.00
0.26,0.67,0.76,1.15,1.57,22.39,0.97,1.60,2.29,2.57,1.98,1.04,0.35,0.41,1.80,2.02,0.78,0.00,0.71,0.69,10.57,0.00
0.25,0.80,0.91,1.49,6.11,18.83,2.50,1.90,2.78,2.93,5.91,1.24,0.37,0.43,2.17,2.45,0.79,0.64,0.83,0.81,44.86,0.17
0.25,1.05,1.19,1.47,0.00,5.72,3.65,2.32,3.55,4.17,7.90,1.53,0.39,0.44,2.75,3.10,1.70,0.78,0.00,0.99,3.88,0.20
0.24,0.00,0.00,1.87,3.62,9.03,0.00,3.00,4.86,8.30,0.00,2.01,0.40,0.47,3.73,4.20,2.71,1.01,3.00,1.27,5.81,0.22
0.24,2.24,2.61,2.57,4.41,5.82,3.42,4.17,7.40,2.88,7.27,2.85,0.43,0.49,5.61,6.32,0.00,1.44,0.36,1.76,3.23,0.23
0.24,2.02,2.28,4.87,13.89,6.16,5.52,7.54,13.56,12.44,11.36,4.62,0.45,0.52,10.63,12.45,3.34,2.46,4.47,2.78,3.43,0.22
0.25,8.25,9.11,6.59,41.74,6.53,13.70,11.21,37.17,31.44,28.77,9.86,0.48,0.55,23.06,27.01,7.66,5.94,16.84,5.49,5.43,0.21
0.28,33.68,24.16,23.40,17.87,6.92,41.47,42.02,62.05,92.85,64.72,39.45,0.51,0.58,9.03,11.02,27.74,26.21,35.86,44.25,0.00,0.19
0.33,2.94,22.91,42.95,5.69,7.81,16.56,37.64,16.62,15.42,71.55,8.53,0.54,0.63,6.12,8.40,7.17,23.67,6.17,5.00,5.04,0.17
0.39,1.42,3.47,5.53,8.54,5.68,8.47,13.37,18.35,21.30,19.10,8.62,0.59,0.67,14.97,30.09,12.69,3.50,3.13,4.13,5.43,0.14
0.47,14.10,3.82,7.97,5.72,8.29,11.20,16.63,18.45,22.14,25.44,9.31,0.63,0.73,35.44,24.34,3.70,4.18,3.33,5.54,5.94,0.13
0.57,4.11,6.26,5.92,6.07,6.35,12.31,13.54,29.21,39.50,31.17,10.72,0.69,0.79,6.84,7.85,5.45,6.64,4.40,3.35,0.00,0.11
0.69,4.91,4.46,5.98,6.43,0.00,12.57,17.40,31.65,30.52,53.68,17.85,0.76,0.87,7.16,0.00,5.36,3.94,1.34,3.56,0.00,0.11
0.82,6.56,4.06,6.34,6.81,0.00,15.48,25.48,16.66,18.94,21.93,10.28,0.84,0.96,0.00,0.00,4.06,4.16,4.00,5.39,5.00,0.12
0.98,4.41,4.30,6.72,7.76,5.69,19.35,22.50,16.61,0.00,0.00,8.50,0.94,1.07,6.44,0.00,4.30,4.40,4.24,0.00,4.13,0.15
1.16,5.25,4.56,7.11,5.69,8.54,10.73,14.65,0.00,54.91,69.37,2.00,1.07,1.21,0.00,9.03,5.11,4.65,11.98,5.20,5.54,0.18
1.37,0.00,5.52,7.86,8.17,5.72,7.23,1.51,15.75,18.35,22.14,3.94,1.23,1.39,24.48,6.12,0.00,5.59,15.09,5.59,3.35,0.24
